Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.07702486391253668,.084646371005129,.001022336,0
1,256,NaiveZ,.18749538160260576,.10134594641855624,22e-6,0
1,256,FullInfo,.1278370858813474,.1265958114229438,22139e-9,0
1,256,Bayes,.17102319153450535,.09652332688029427,26958e-9,3
1,256,MLE,.15943184520580939,.0741192208418154,569766e-9,3.761080537413957
1,256,MM,.16368867779618662,.0881731841439379,33244e-9,13.915639520974073
1,256,EmpBayesX,.08955613155631739,.08881272796417694,90305e-9,5.127411199928832
1,256,Rescaled,.17102319153450535,.09652332688029427,90305e-9,2.563705599964416
1,256,Rescaled_0.125,.14976496401782613,.08522100987526082,90305e-9,41.01928959943066
1,256,Rescaled_0.25,.15157615322751758,.08606421378265366,90305e-9,20.50964479971533
1,256,Rescaled_1.0,.17228102533598225,.0951393390417226,90305e-9,5.127411199928832
1,256,Rescaled_2.0,.17102319153450535,.09652332688029427,90305e-9,2.563705599964416
1,256,Rescaled_4.0,.16983667852387702,.09773273940796262,90305e-9,1.281852799982208
1,256,Rescaled_8.0,.18868596171734314,.10316179205893647,90305e-9,.640926399991104
1,256,ExactStein,.17123160488363204,.09635378503181682,.009466427,4.17
1,256,OracleX,.08694880174450931,.09071523961423587,94775e-9,2.0254610271529265
1,256,OracleZ,.18868596171734314,.10316179205893647,97359e-9,.5918416646732632
1,256,Ridge,.16663756946732408,.0913412225092965,456692e-9,.5918416646732632
1,512,NaiveX,.08762959134526424,.08407734816417335,35131e-9,0
1,512,NaiveZ,.2328574435596894,.10188600425202479,36667e-9,0
1,512,FullInfo,.1378136015175436,.13467165442069545,39321e-9,0
1,512,Bayes,.19496246091297043,.10305420091598279,47632e-9,3
1,512,MLE,.16580605414987318,.07715268887966523,.00102094,3.042823303482826
1,512,MM,.2328574435596894,.10188600425202479,572e-7,0
1,512,EmpBayesX,.10040525563356327,.08761723777225293,304438e-9,.03219248681411817
1,512,Rescaled,.23156434756136499,.10451964414624237,304438e-9,.016096243407059084
1,512,Rescaled_0.125,.22664035050127182,.10560681261471142,304438e-9,.25753989451294534
1,512,Rescaled_0.25,.23183227023566896,.1052885906820298,304438e-9,.12876994725647267
1,512,Rescaled_1.0,.23165378229799843,.10515994988718677,304438e-9,.03219248681411817
1,512,Rescaled_2.0,.23156434756136499,.10451964414624237,304438e-9,.016096243407059084
1,512,Rescaled_4.0,.2327764447829617,.1022621344551002,304438e-9,.008048121703529542
1,512,Rescaled_8.0,.2328574435596894,.10188600425202479,304438e-9,.004024060851764771
1,512,ExactStein,.20233937912218916,.10866714662905883,.022694297,1.81
