Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.06946767475810472,.0662493646738453,64533e-9,0
1,256,NaiveZ,.2564527597922539,.07725728232602669,29263e-9,0
1,256,FullInfo,.157678529001756,.12632476567042406,28285e-9,0
1,256,Bayes,.17999108604114822,.08679963393496717,38134e-9,3
1,256,MLE,.17999108604114822,.08679963393496717,883003e-9,2.7257725298903996
1,256,MM,.17832572110277206,.08806977655197984,43232e-9,5.734710056789352
1,256,EmpBayesX,.10166563092735778,.08890385009408064,21092e-8,218.62034842169433
1,256,Rescaled,.16711133625538982,.08330829898713246,21092e-8,109.31017421084717
1,256,ExactStein,.25367632518866035,.0770851356966488,.017070746,.21
1,256,Box,.25430705431185996,.07733085121134664,.008055773,.15
1,256,Gauss,.25367632518866035,.0770851356966488,.007206433,.2
1,256,Sinc,.2564527597922539,.07725728232602669,.003870534,0
1,256,OracleX,.0928502708021226,.09338068244715303,21106e-8,6.2176892834861865
1,256,OracleZ,.1751782635255496,.09014355256619845,220978e-9,6.4431272761155425
1,256,Ridge,.1860565543464699,.08721284076715857,760851e-9,6.4431272761155425
1,256,RidgeHalf,.180029008964102,.08662209228340736,751772e-9,6.4431272761155425
1,256,Regularization_.1,.25631543575868,.07715175593746014,.00168492,6.4431272761155425
1,256,Regularization_1,.21366709086356334,.07540913669434053,.001711181,6.4431272761155425
1,256,Regularization_.01,.25645275979225396,.07725728232602672,.001635543,6.4431272761155425
1,512,NaiveX,.05891934980195511,.06634175825846755,47283e-9,0
1,512,NaiveZ,.2283119376903113,.07219564647215257,46305e-9,0
1,512,FullInfo,.1247237901912148,.12515805620470477,45396e-9,0
1,512,Bayes,.16159086470119016,.08224974285583633,54267e-9,3
1,512,MLE,.1616043836201056,.08207378777293763,.001689111,2.8439776234812313
1,512,MM,.1562359343627649,.083478037874751,69213e-9,8.760741941085728
1,512,EmpBayesX,.09009073824149358,.08140477370745622,526323e-9,12.46261750006913
1,512,Rescaled,.15726587897137329,.0825183591407702,526323e-9,6.231308750034565
1,512,ExactStein,.22241456109168306,.07157924652433317,.033324629,.24
1,512,Box,.22696349799312132,.07303226553806952,.012576041,.15
1,512,Gauss,.16010493752972627,.0828486416225929,.016706174,4.85
1,512,Sinc,.1601049375297263,.0828486416225929,.007547049,4.8
1,512,OracleX,.07323513711375643,.08417624837463125,549442e-9,5.451718881710105
1,512,OracleZ,.15909223937847003,.08444699719566066,746184e-9,1.1864310207766295
1,512,Ridge,.1601049375297263,.0828486416225929,.001116413,1.1864310207766295
1,512,RidgeHalf,.15991233798968546,.08191364870246942,986997e-9,1.1864310207766295
1,512,Regularization_.1,.22840475566565346,.07264339153493544,.003321791,1.1864310207766295
