Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,1.7742576046276426,1.6988052415205726,6125e-8,0
1,256,NaiveZ,1.8591330077389943,1.6971244480878247,30172e-9,0
1,256,FullInfo,1.8123387225658074,1.7341677618983753,27587e-9,0
1,256,Bayes,1.7197475863661964,1.6306456789708148,38692e-9,3
1,256,MLE,1.861947724848386,1.6948151433795924,878254e-9,.03816516184354237
1,256,MM,1.8488978705375834,1.7061363705425634,42673e-9,.03838270497976333
1,256,EmpBayesX,1.7947172479221436,1.6950676910953935,272591e-9,.1408785684254007
1,256,Rescaled,1.8488978705375834,1.7061363705425634,272591e-9,.07043928421270035
1,256,Rescaled_0.125,1.7443678232142643,1.6505539643722247,272591e-9,1.1270285474032056
1,256,Rescaled_0.25,1.7754170677906302,1.6623490975315738,272591e-9,.5635142737016028
1,256,Rescaled_1.0,1.845428338763792,1.7134690259170546,272591e-9,.1408785684254007
1,256,Rescaled_2.0,1.8488978705375834,1.7061363705425634,272591e-9,.07043928421270035
1,256,Rescaled_4.0,1.8520465851891372,1.7057453207572713,272591e-9,.035219642106350174
1,256,Rescaled_8.0,1.8532601168029248,1.7004850286198891,272591e-9,.017609821053175087
1,256,ExactStein,1.8488978705375834,1.7061363705425634,.018533782,.08
1,256,ImpulseStein,1.8450161021932066,1.7132123894829783,.012283685,.12
1,256,OracleX,1.7771170920539463,1.7097199140847992,266305e-9,.07786216383794821
1,256,OracleZ,1.845428338763792,1.7134690259170546,2816e-7,.13487120129672486
1,256,Ridge,1.8488978705375836,1.7061363705425634,691848e-9,.13487120129672486
1,512,NaiveX,1.6362480778012356,1.6178529839645093,47213e-9,0
1,512,NaiveZ,1.7282413408610353,1.637609629651133,46654e-9,0
1,512,FullInfo,1.6893173407706614,1.6564165300292828,46234e-9,0
1,512,Bayes,1.6132460833097002,1.5544668920831917,55943e-9,3
1,512,MLE,1.718298782954267,1.6222314013422596,.001503613,.0391583816133585
1,512,MM,1.7316073751812198,1.6321974858403303,91562e-9,.03945736752954052
1,512,EmpBayesX,1.6660265328183235,1.6240820512043372,.001046432,.16024413298494536
1,512,Rescaled,1.7211100426413417,1.6290260417415978,.001046432,.08012206649247268
1,512,Rescaled_0.125,1.658077656425291,1.5810961882087637,.001046432,1.2819530638795629
1,512,Rescaled_0.25,1.685850857155624,1.6028704460083547,.001046432,.6409765319397814
1,512,Rescaled_1.0,1.7111525416195814,1.6266797347722384,.001046432,.16024413298494536
1,512,Rescaled_2.0,1.7211100426413417,1.6290260417415978,.001046432,.08012206649247268
1,512,Rescaled_4.0,1.7316073751812198,1.6321974858403303,.001046432,.04006103324623634
1,512,Rescaled_8.0,1.7282413408610353,1.637609629651133,.001046432,.02003051662311817
1,512,ExactStein,1.7304445321893964,1.628763767063346,.035838496,.07
1,512,ImpulseStein,1.7204972880573397,1.6271063594626196,.025777231,.1
1,512,OracleX,1.6576738695606572,1.6323152792904883,.00101221,.11607352034626164
1,512,OracleZ,1.7282413408610353,1.637609629651133,811416e-9,0
1,512,Ridge,1.7289766349063815,1.6289082945846458,949841e-9,0
1,1024,NaiveX,1.617707059077582,1.6125217341680298,80946e-9,0
1,1024,NaiveZ,1.6982877641526106,1.6227726122265418,87511e-9,0
1,1024,FullInfo,1.6750575449068825,1.652370061710323,87232e-9,0
1,1024,Bayes,1.5985995378074742,1.5548675097915217,98895e-9,3
1,1024,MLE,1.6909336891094333,1.6162418365339883,.002801125,.039183997005911915
1,1024,MM,1.6849058909226144,1.6286277386800965,123759e-9,.03954298119512254
1,1024,EmpBayesX,1.6419754744198296,1.6164047959934864,.003185392,.17767620367078615
1,1024,Rescaled,1.6842812821416735,1.62634458723738,.003185392,.08883810183539308
1,1024,Rescaled_0.125,1.619017494055498,1.5774576777986642,.003185392,1.4214096293662892
1,1024,Rescaled_0.25,1.6468355232792153,1.599266398610637,.003185392,.7107048146831446
1,1024,Rescaled_1.0,1.6693755659920524,1.6222175155038072,.003185392,.17767620367078615
1,1024,Rescaled_2.0,1.6842812821416735,1.62634458723738,.003185392,.08883810183539308
1,1024,Rescaled_4.0,1.6849058909226144,1.6286277386800965,.003185392,.04441905091769654
1,1024,Rescaled_8.0,1.687990782984766,1.6301662093522666,.003185392,.02220952545884827
1,1024,ExactStein,1.684153004435141,1.625889637259267,.069374185,.1
1,1024,ImpulseStein,1.687437982721109,1.6299871362353224,.052518061,.01
1,1024,OracleX,1.6373333526370395,1.6207418822890385,.003164019,.17053627660771595
1,1024,OracleZ,1.687990782984766,1.6301662093522666,.003318299,.017497080799572205
1,1024,Ridge,1.684153004435141,1.625889637259267,.001532039,.017497080799572205
