Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.15336025882457235,.15859375,122991e-9,0
1,256,NaiveZ,.3261101197822109,.16875,54965e-9,0
1,256,FullInfo,.19130221011260992,.2,30101e-9,0
1,256,MLE,.30984503753788795,.18046875,.001063263,.3945402010607877
1,256,MM,.3083956793380865,.184375,65791e-9,.43024090077770955
1,256,EmpBayesX,.18601458999274118,.2,209314e-9,6.408436066753207
1,256,Rescaled,.31433110123855346,.2,209314e-9,3.2042180333766037
1,256,ExactStein,.31846260728657283,.17265625,.01698526,.19
1,256,Box,.3261101197822109,.16875,.007081906,0
1,256,Gauss,.3261101197822109,.16875,.008152294,0
1,256,Sinc,.31433110123855346,.2,.007010179,5
1,256,OracleX,.18601458999274118,.2,164336e-9,6.408436066753207
1,256,OracleZ,.31433110123855346,.2,144712e-9,.8625761351304967
1,256,Ridge,.31433110123855346,.2,751353e-9,.8625761351304967
1,256,RidgeHalf,.3070758458187915,.1859375,710007e-9,.8625761351304967
1,256,Regularization_.1,.32370668460012625,.1696607723436625,.001642597,.8625761351304967
1,256,Regularization_1,.31517317904099396,.17911411201437774,.001754692,.8625761351304967
1,256,Regularization_.01,.32611011978221094,.16875000000000018,.001648813,.8625761351304967
1,512,NaiveX,.18953290353848468,.170703125,9205e-8,0
1,512,NaiveZ,.32256217219876326,.18046875,63835e-9,0
1,512,FullInfo,.20201714710575447,.2,42743e-9,0
1,512,MLE,.32794732354415806,.1921875,.001681219,.3681828780829592
1,512,MM,.3261880664610107,.19375,135422e-9,.4030807318965868
1,512,EmpBayesX,.21018685935871448,.2,392997e-9,3.513899957563767
1,512,Rescaled,.3216730450781784,.2,392997e-9,1.7569499787818834
1,512,ExactStein,.3216730450781784,.2,.032947696,5
1,512,Box,.32256217219876326,.18046875,.012600904,0
1,512,Gauss,.32256217219876326,.18046875,.01463112,0
1,512,Sinc,.3216730450781784,.2,.00987479,3.7
1,512,OracleX,.21018685935871448,.2,401098e-9,3.513899957563767
1,512,OracleZ,.3216730450781784,.2,276082e-9,.5687881672177143
1,512,Ridge,.3216730450781784,.2,.001032673,.5687881672177143
1,512,RidgeHalf,.32578294820435166,.194140625,.001120882,.5687881672177143
1,512,Regularization_.1,.3243604507242042,.18160950582878893,.003193772,.5687881672177143
1,512,Regularization_1,.32054012302130985,.1878884368591262,.003416636,.5687881672177143
1,512,Regularization_.01,.3225621721987632,.1804687499999999,.003271506,.5687881672177143
1,1024,NaiveX,.17899441147237063,.1638671875,115588e-9,0
1,1024,NaiveZ,.32408288783867367,.1794921875,9261e-8,0
1,1024,FullInfo,.19803080087497874,.2,75568e-9,0
1,1024,MLE,.3299137570223944,.1912109375,.003205925,.3578836182743397
1,1024,MM,.3299137570223944,.1912109375,140312e-9,.387326987340514
1,1024,EmpBayesX,.20553539784963457,.2,.001507035,4.654438378516769
1,1024,Rescaled,.323444883749046,.2,.001507035,2.3272191892583844
1,1024,ExactStein,.3283569259056241,.1849609375,.067780826,.14
1,1024,Box,.32408288783867367,.1794921875,.027637942,0
1,1024,Gauss,.32408288783867367,.1794921875,.03178868,0
1,1024,Sinc,.323444883749046,.2,.015454619,4.2
1,1024,OracleX,.20553539784963457,.2,.001520375,4.654438378516769
1,1024,OracleZ,.323444883749046,.2,945651e-9,1.3287208475198442
1,1024,Ridge,.3287192792019415,.1970703125,.003759905,1.3287208475198442
1,1024,RidgeHalf,.3306881853809273,.1931640625,.001701823,1.3287208475198442
1,1024,Regularization_.1,.32577138468363814,.18130689914889878,.006685487,1.3287208475198442
1,1024,Regularization_1,.324010624129579,.18538718640598756,.00700571,1.3287208475198442
