Run,n,Method,YVal,thetaVal,time,tau0
1,256,NaiveX,.16697745255320673,.1703125,46165e-9,0
1,256,NaiveZ,.30891458829368884,.1765625,22977e-9,0
1,256,FullInfo,.19287975201452429,.2,20673e-9,0
1,256,MLE,.3140132200539816,.146875,59847e-8,.40119447833274524
1,256,MM,.3051220960291344,.1921875,31708e-9,.4397218133496229
1,256,EmpBayesX,.21707974090649446,.19765625,85276e-9,67.62124418832657
1,256,Rescaled,.3014042096376663,.2,85276e-9,33.810622094163286
1,256,Rescaled_0.125,.3014042096376663,.2,85276e-9,540.9699535066126
1,256,Rescaled_0.25,.3014042096376663,.2,85276e-9,270.4849767533063
1,256,Rescaled_1.0,.3014042096376663,.2,85276e-9,67.62124418832657
1,256,Rescaled_2.0,.3014042096376663,.2,85276e-9,33.810622094163286
1,256,Rescaled_4.0,.3014042096376663,.2,85276e-9,16.905311047081643
1,256,Rescaled_8.0,.3014042096376663,.2,85276e-9,8.452655523540821
1,256,ExactStein,.3014042096376663,.2,.013511285,5
1,256,ImpulseStein,.3014042096376663,.2,.008093907,2.52
1,256,OracleX,.21285122621300695,.2,87092e-9,235.79299069307942
1,256,OracleZ,.3014042096376663,.2,75568e-9,1.248579530479933
1,256,Ridge,.29981381746816416,.19609375,446775e-9,1.248579530479933
1,512,NaiveX,.15033395308977443,.16875,3534e-8,0
1,512,NaiveZ,.29601143924818907,.184375,3506e-8,0
1,512,FullInfo,.20534325011711063,.2,31219e-9,0
1,512,MLE,.29738894498753343,.160546875,.001048736,.40333325070549375
1,512,MM,.29465212479420977,.1921875,50565e-9,.44687849142407843
1,512,EmpBayesX,.19928133772302997,.199609375,237391e-9,31.8915622473839
1,512,Rescaled,.29100619806596745,.2,237391e-9,15.94578112369195
1,512,Rescaled_0.125,.29100619806596745,.2,237391e-9,255.1324979790712
1,512,Rescaled_0.25,.29100619806596745,.2,237391e-9,127.5662489895356
1,512,Rescaled_1.0,.29100619806596745,.2,237391e-9,31.8915622473839
1,512,Rescaled_2.0,.29100619806596745,.2,237391e-9,15.94578112369195
1,512,Rescaled_4.0,.29100619806596745,.2,237391e-9,7.972890561845975
1,512,Rescaled_8.0,.29100619806596745,.2,237391e-9,3.9864452809229873
1,512,ExactStein,.29423363040089223,.198046875,.023248277,2.49
1,512,ImpulseStein,.29465212479420977,.1921875,.014960701,.52
1,512,OracleX,.19923613947043609,.2,243048e-9,31.92671018163853
1,512,OracleZ,.29100619806596745,.2,157702e-9,2.510790157940237
1,512,Ridge,.2926239219475993,.194140625,.002171295,2.510790157940237
1,1024,NaiveX,.1467448355041313,.16875,70121e-9,0
1,1024,NaiveZ,.3147148797174701,.174609375,68724e-9,0
1,1024,FullInfo,.2011435902381693,.2,56362e-9,0
1,1024,MLE,.3116593751637483,.151171875,.001978813,.3815622076606508
1,1024,MM,.3037570694078021,.18984375,91143e-9,.41510268994110744
1,1024,EmpBayesX,.19010418165543583,.1970703125,778521e-9,3.5455153617880364
1,1024,Rescaled,.2979639170034526,.198046875,778521e-9,1.7727576808940182
